OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
51388,[Q]R3-1-RIO,R3,RESIDENTIAL,0.00544179633854593,1.0175032197926e-06
51389,RD1.5-1XL-RIO,RD1.5,RESIDENTIAL,0.00374114675747514,5.99727217652448e-07
51390,R4-1VL,R4,RESIDENTIAL,0.00555470076608713,1.90469661969472e-06
51391,R1-1,R1,RESIDENTIAL,0.0169101827326165,4.76810365128752e-06
51392,R3-1-O,R3,RESIDENTIAL,0.00458658412415965,1.1732296659245e-06
51393,[Q]MR2-1VL-O-CUGU,MR2,INDUSTRIAL,0.00158907520384927,1.42974966496272e-07
51394,C1-1VL,C1,COMMERCIAL,0.00777924266078387,3.67590289599731e-06
51395,R1-1-RFA,R1,RESIDENTIAL,0.00436149822476793,1.17480992951143e-06
51396,[Q]R1-1,R1,RESIDENTIAL,0.00495691155889964,4.20564324119877e-07
51397,R1-1,R1,RESIDENTIAL,0.00825957495273856,1.92833450546319e-06
51398,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.0212684453808657,4.55661939639283e-06
51399,PF-1XL-CUGU,PF,PUBLIC FACILITY,0.00314782500933839,4.58870035251501e-07
51400,OS-1XL-CUGU,OS,OPEN SPACE,0.00918429794679288,2.64601564095437e-06
51401,R4-2,R4,RESIDENTIAL,0.00394002090547175,7.5033262141567e-07
51402,R4-1,R4,RESIDENTIAL,0.00385570104878816,7.69391640866538e-07
51403,C2-1,C2,COMMERCIAL,0.00489854883099632,1.4562352001302e-06
51404,NMU(EC)-POD,NMU(EC),,0.00163287898610173,1.49161569926529e-07
51405,(T)(Q)RD5-1,RD5,RESIDENTIAL,0.00139854640395622,1.19999993171282e-07
51406,RA-1,RA,AGRICULTURE,0.00373298195586872,8.67413600099049e-07
51407,(T)(Q)RS-1,RS,RESIDENTIAL,0.00244283601833237,3.27330833611813e-07
51408,RA-1,RA,AGRICULTURE,0.00282600874130499,4.93897159590002e-07
51409,(Q)RD1.5-1,RD1.5,RESIDENTIAL,0.00241916206937559,2.20203799877778e-07
51410,(T)(Q)RD1.5-1,RD1.5,RESIDENTIAL,0.00205188333259087,2.40973792253215e-07
51411,(Q)RD1.5-1,RD1.5,RESIDENTIAL,0.00267040949898261,3.53252525758336e-07
51412,R1-1,R1,RESIDENTIAL,0.00252620534717354,3.61304926514004e-07
51413,[Q]RD2-1,RD2,RESIDENTIAL,0.00119778523495064,6.68719255167486e-08
51414,PF-1XL-RIO,PF,PUBLIC FACILITY,0.0021658720910923,2.4821895510999e-07
51415,RD1.5-1,RD1.5,RESIDENTIAL,0.00357878426048935,7.74281559496166e-07
51416,(T)(Q)RD3-1,RD3,RESIDENTIAL,0.00180574370287474,1.62400304702742e-07
51417,(T)(Q)R1-1,R1,RESIDENTIAL,0.00286244912921259,3.53621723661829e-07
51418,(T)(Q)R1-1-K,R1,RESIDENTIAL,0.00287269776620782,2.92798737521523e-07
51419,RA-1-K,RA,AGRICULTURE,0.00861072183477279,3.06666129669689e-06
51420,[T][Q]C4-1VL,C4,COMMERCIAL,0.00995599538254826,4.44156053462711e-06
